2Kmin,,5Kmin,,20Kmin,
X,Y,X,Y,X,Y
1158.484247631637,0.5364243073837492,1163.2573254020708,0.5163354772585086,1184.3952412425645,0.5146159417064917
1162.5754571491518,0.5434738756821252,1167.3485349195857,0.5217713326490776,1188.4864507600794,0.5185847853626903
1166.6666666666667,0.5514036510211235,1171.4397444371007,0.5266203833458982,1192.577660277594,0.5232871348860739
1170.7578761841814,0.5593334263601218,1175.5309539546156,0.532349641083341,1196.668869795109,0.5284295879297688
1174.8490857016964,0.5678500063928682,1179.6221634721305,0.5385190023410951,1200.760079312624,0.5338654433203375
1178.9402952192113,0.5772467934662368,1183.7133729896452,0.5448350647722859,1204.8512888301389,0.5390078963640323
1183.0315047367262,0.5870836840599163,1187.8045825071601,0.551297828376914,1208.9424983476538,0.5445904529280381
1187.122714254241,0.5976540805207811,1191.895792024675,0.5583473966752901,1213.0337078651685,0.550613113012355
1190.8729896452962,0.6082238176505292,1195.9870015421898,0.5653969649736661,1217.1249173826834,0.556782474270109
1194.2823309098922,0.6181474102860378,1200.0782110597047,0.5734734414861015,1221.2161269001983,0.5636853413950482
1197.6916721744878,0.6293619732477924,1204.1694205772196,0.5819900215188478,1225.307336417713,0.5708816108668613
1200.760079312624,0.6383900293942186,1208.2606300947346,0.5908000038984682,1229.398545935228,0.5779311791652373
1203.82848645076,0.6490904789178269,1212.3518396122495,0.6000500897983997,1233.4897554527429,0.5849807474636134
1206.8968935888963,0.6595268663292486,1216.4430491297642,0.6100336815655163,1237.5809649702578,0.5929105228026117
1209.6243666005728,0.6692144184250248,1220.534258647279,0.6206040780263811,1241.6721744877727,0.601133700488484
1212.3518396122495,0.6791220222809567,1224.2845340383344,0.6304696495236315,1245.7633840052874,0.6093568781743562
1215.079312623926,0.6890296261368886,1227.69387530293,0.6405106030978898,1249.8545935228024,0.6183135617274137
1217.8067856356026,0.6998174370334425,1231.1032165675258,0.650551556672148,1253.9458030403173,0.6277103488007822
1220.534258647279,0.7108252996901521,1234.5125578321217,0.6605925102464063,1257.6960784313726,0.6373998788899082
1223.2617316589558,0.7216131105867061,1237.9218990967174,0.6713376294531623,1261.1054196959683,0.6476168738722909
1225.9892046706323,0.73240092148326,1241.3312403613131,0.6824348314761672,1264.8556950870236,0.6576584867776658
1228.716677682309,0.7438488876602806,1244.7405816259088,0.6944122405397943,1268.605970478079,0.6684042653155384
1231.4441506939854,0.7544166467966791,1248.1499228905045,0.7060375667871724,1272.0153117426746,0.6780931360735478
1234.1716237056621,0.7649844059330775,1251.2183300286406,0.717266140535154,1275.4246530072703,0.6890142966884283
1236.8990967173386,0.7751120615491649,1253.9458030403173,0.7276138479113969,1278.4930601454066,0.69905459093157
1239.6265697290153,0.7856798206855633,1256.673276051994,0.7377415035274844,1281.220533157083,0.7083020395070352
1242.3540427406917,0.7962475798219617,1259.4007490636704,0.7478691591435717,1283.9480061687595,0.7186497468832781
1245.0815157523684,0.8068153389583601,1262.128222075347,0.7584369182799702,1286.3345450539766,0.7289967949284044
1247.808988764045,0.8167229428142919,1264.8556950870236,0.768784625656213,1288.380149812734,0.7395632354025697
1250.8773959021812,0.8275114130419625,1267.5831680987003,0.7793523847926114,1290.4257545714916,0.7495428711829868
1254.286737166777,0.8396648635137139,1270.3106411103768,0.7897000921688544,,
1257.355144304913,0.8495291163487313,1273.0381141220532,0.7993876442646306,,
1260.4235514430493,0.8602735762243707,1275.76558713373,0.809955403401029,,
1263.832892707645,0.8701384883905046,1278.833994271866,0.8212279875010418,,
1267.2422339722407,0.8805315247810117,1281.9024014100023,0.8321924991368368,,
1270.6515752368364,0.89057247835527,1284.6298744216788,0.8418800512326131,,
1274.4018506278917,0.9006140912606448,1287.6982815598149,0.8522284179399726,,
1278.4930601454066,0.9108910853746355,1290.7666886979512,0.8614765258465543,,
1282.5842696629213,0.9204345736214411,1293.4941617096276,0.8702838709017084,,
1286.6754791804362,0.9288044524807504,,,,
1290.7666886979512,0.9365875266463116,,,,
1294.8578982154659,0.9434903937712507,,,,
1298.9491077329808,0.9496597550290047,,,,
